Angle, TimePerStep, Intensity
28.56,0.5,77
28.58,0.5,60
28.6,0.5,46
28.62,0.5,38
28.64,0.5,29
28.66,0.5,23
28.68,0.5,19
28.7,0.5,20
28.72,0.5,12
28.74,0.5,12
28.76,0.5,6
28.78,0.5,9
28.8,0.5,12
28.82,0.5,9
28.84,0.5,10
28.86,0.5,7
28.88,0.5,9
28.9,0.5,11
28.92,0.5,7
28.94,0.5,11
28.96,0.5,8
28.98,0.5,5
29,0.5,8
29.02,0.5,10
29.04,0.5,6
29.06,0.5,10
29.08,0.5,7
29.1,0.5,3
29.12,0.5,6
29.14,0.5,4
29.16,0.5,6
29.18,0.5,3
29.2,0.5,6
29.22,0.5,7
29.24,0.5,4
29.26,0.5,1
29.28,0.5,4
29.3,0.5,3
29.32,0.5,2
29.34,0.5,1
29.36,0.5,3
29.38,0.5,7
29.4,0.5,4
29.42,0.5,4
29.44,0.5,5
29.46,0.5,6
29.48,0.5,4
29.5,0.5,4
29.52,0.5,4
29.54,0.5,2
29.56,0.5,4
29.58,0.5,1
29.6,0.5,3
29.62,0.5,2
29.64,0.5,5
29.66,0.5,5
29.68,0.5,3
29.7,0.5,5
29.72,0.5,1
29.74,0.5,5
29.76,0.5,4
29.78,0.5,1
29.8,0.5,6
29.82,0.5,3
29.84,0.5,5
29.86,0.5,6
29.88,0.5,2
29.9,0.5,3
29.92,0.5,1
29.94,0.5,7
29.96,0.5,3
29.98,0.5,7
30,0.5,3
30.02,0.5,2
30.04,0.5,8
30.06,0.5,3
30.08,0.5,0
30.1,0.5,2
30.12,0.5,2
30.14,0.5,2
30.16,0.5,6
30.18,0.5,0
30.2,0.5,2
30.22,0.5,7
30.24,0.5,5
30.26,0.5,1
30.28,0.5,5
30.3,0.5,4
30.32,0.5,3
30.34,0.5,2
30.36,0.5,3
30.38,0.5,2
30.4,0.5,2
30.42,0.5,10
30.44,0.5,3
30.46,0.5,5
30.48,0.5,5
30.5,0.5,1
30.52,0.5,4
30.54,0.5,3
30.56,0.5,2
30.58,0.5,4
30.6,0.5,2
30.62,0.5,3
30.64,0.5,4
30.66,0.5,4
30.68,0.5,3
30.7,0.5,2
30.72,0.5,2
30.74,0.5,3
30.76,0.5,9
30.78,0.5,0
30.8,0.5,2
30.82,0.5,3
30.84,0.5,6
30.86,0.5,3
30.88,0.5,1
30.9,0.5,3
30.92,0.5,3
30.94,0.5,4
30.96,0.5,4
30.98,0.5,2
31,0.5,2
31.02,0.5,4
31.04,0.5,3
31.06,0.5,4
31.08,0.5,4
31.1,0.5,2
31.12,0.5,4
31.14,0.5,6
31.16,0.5,4
31.18,0.5,6
31.2,0.5,3
31.22,0.5,3
31.24,0.5,3
31.26,0.5,4
31.28,0.5,2
31.3,0.5,4
31.32,0.5,1
31.34,0.5,4
31.36,0.5,3
31.38,0.5,1
31.4,0.5,2
31.42,0.5,2
31.44,0.5,3
31.46,0.5,7
31.48,0.5,2
31.5,0.5,6
31.52,0.5,7
31.54,0.5,7
31.56,0.5,4
31.58,0.5,2
31.6,0.5,1
31.62,0.5,5
31.64,0.5,3
31.66,0.5,3
31.68,0.5,3
31.7,0.5,1
31.72,0.5,3
31.74,0.5,2
31.76,0.5,2
31.78,0.5,3
31.8,0.5,5
31.82,0.5,1
31.84,0.5,2
31.86,0.5,3
31.88,0.5,6
31.9,0.5,4
31.92,0.5,2
31.94,0.5,6
31.96,0.5,6
31.98,0.5,3
32,0.5,3
32.02,0.5,2
32.04,0.5,2
32.06,0.5,3
32.08,0.5,3
32.1,0.5,6
32.12,0.5,0
32.14,0.5,2
32.16,0.5,2
32.18,0.5,2
32.2,0.5,2
32.22,0.5,11
32.24,0.5,2
32.26,0.5,1
32.28,0.5,3
32.3,0.5,3
32.32,0.5,5
32.34,0.5,3
32.36,0.5,6
32.38,0.5,3
32.4,0.5,0
32.42,0.5,3
32.44,0.5,5
32.46,0.5,2
32.48,0.5,4
32.5,0.5,1
32.52,0.5,1
32.54,0.5,3
32.56,0.5,7
32.58,0.5,4
32.6,0.5,6
32.62,0.5,5
32.64,0.5,7
32.66,0.5,0
32.68,0.5,3
32.7,0.5,5
32.72,0.5,4
32.74,0.5,2
32.76,0.5,5
32.78,0.5,2
32.8,0.5,1
32.82,0.5,3
32.84,0.5,4
32.86,0.5,2
32.88,0.5,1
32.9,0.5,5
32.92,0.5,6
32.94,0.5,2
32.96,0.5,6
32.98,0.5,5
33,0.5,1
33.02,0.5,4
33.04,0.5,1
33.06,0.5,2
33.08,0.5,6
33.1,0.5,2
33.12,0.5,3
33.14,0.5,5
33.16,0.5,2
33.18,0.5,2
33.2,0.5,5
33.22,0.5,4
33.24,0.5,4
33.26,0.5,3
33.28,0.5,1
33.3,0.5,4
33.32,0.5,0
33.34,0.5,0
33.36,0.5,3
33.38,0.5,6
33.4,0.5,3
33.42,0.5,2
33.44,0.5,5
33.46,0.5,1
33.48,0.5,1
33.5,0.5,2
33.52,0.5,1
33.54,0.5,2
33.56,0.5,3
33.58,0.5,3
33.6,0.5,3
33.62,0.5,4
33.64,0.5,3
33.66,0.5,3
33.68,0.5,2
33.7,0.5,3
33.72,0.5,4
33.74,0.5,2
33.76,0.5,6
33.78,0.5,6
33.8,0.5,1
33.82,0.5,1
33.84,0.5,5
33.86,0.5,4
33.88,0.5,1
33.9,0.5,2
33.92,0.5,3
33.94,0.5,2
33.96,0.5,3
33.98,0.5,1
34,0.5,5
34.02,0.5,3
34.04,0.5,4
34.06,0.5,4
34.08,0.5,0
34.1,0.5,4
34.12,0.5,4
34.14,0.5,3
34.16,0.5,5
34.18,0.5,5
34.2,0.5,1
34.22,0.5,2
34.24,0.5,2
34.26,0.5,0
34.28,0.5,3
34.3,0.5,3
34.32,0.5,5
34.34,0.5,1
34.36,0.5,3
34.38,0.5,0
34.4,0.5,2
34.42,0.5,1
34.44,0.5,0
34.46,0.5,1
34.48,0.5,1
34.5,0.5,4
34.52,0.5,0
34.54,0.5,2
34.56,0.5,2
34.58,0.5,1
34.6,0.5,5
34.62,0.5,4
34.64,0.5,1
34.66,0.5,4
34.68,0.5,4
34.7,0.5,2
34.72,0.5,1
34.74,0.5,2
34.76,0.5,1
34.78,0.5,1
34.8,0.5,3
34.82,0.5,3
34.84,0.5,3
34.86,0.5,4
34.88,0.5,2
34.9,0.5,1
34.92,0.5,3
34.94,0.5,1
34.96,0.5,2
34.98,0.5,3
35,0.5,5
35.02,0.5,8
35.04,0.5,3
35.06,0.5,4
35.08,0.5,2
35.1,0.5,9
35.12,0.5,2
35.14,0.5,7
35.16,0.5,3
35.18,0.5,7
35.2,0.5,3
35.22,0.5,2
35.24,0.5,5
35.26,0.5,7
35.28,0.5,4
35.3,0.5,7
35.32,0.5,1
35.34,0.5,2
35.36,0.5,1
35.38,0.5,1
35.4,0.5,5
