wavelength	transmission	transmission
nm	%	%
	NaCl, not irradiated	NaCl, irradiated with X-rays
1051.6	86.429999	70.730999
1051.5	86.524	70.678
1051.4	86.382	70.753999
1051.3	86.399	70.775
1051.2	86.419	70.663
1051.1	86.443	70.711
1051	86.377	70.7
1050.9	86.455	70.732
1050.8	86.467	70.587999
1050.7	86.554	70.706
1050.6	86.452	70.7
1050.5	86.303	70.711
1050.4	86.465	70.653
1050.3	86.449	70.64
1050.2	86.455	70.718
1050.1	86.377	70.712
1050	86.389	70.750999
1049.9	86.404	70.725
1049.8	86.295999	70.651
1049.7	86.38	70.664
1049.6	86.375	70.643999
1049.5	86.405	70.615
1049.4	86.369	70.616
1049.3	86.409	70.648
1049.2	86.414	70.627
1049.1	86.547	70.631999
1049	86.492	70.648
1048.9	86.471	70.639
1048.8	86.437	70.625
1048.7	86.438	70.626
1048.6	86.45	70.625
1048.5	86.417999	70.648
1048.4	86.386	70.627
1048.3	86.385	70.593999
1048.2	86.417	70.604
1048.1	86.473	70.532
1048	86.475	70.531
1047.9	86.511	70.583
1047.8	86.545	70.571
1047.7	86.456	70.563
1047.6	86.408	70.611
1047.5	86.414999	70.596999
1047.4	86.402999	70.578
1047.3	86.468	70.593999
1047.2	86.458	70.616
1047.1	86.428	70.562
1047	86.453999	70.542
1046.9	86.406	70.523
1046.8	86.453	70.535
1046.7	86.492999	70.521
1046.6	86.44	70.542
1046.5	86.444	70.581
1046.4	86.455	70.485
1046.3	86.504	70.512
1046.2	86.475	70.564
1046.1	86.396	70.607
1046	86.349	70.537
1045.9	86.416	70.593999
1045.8	86.409	70.533999
1045.7	86.446	70.464
1045.6	86.294	70.581
1045.5	86.336	70.514
1045.4	86.331999	70.515
1045.3	86.385	70.492
1045.2	86.417	70.5
1045.1	86.323	70.43
1045	86.385	70.489999
1044.9	86.42	70.506999
1044.8	86.414999	70.474
1044.7	86.411	70.454
1044.6	86.341	70.461
1044.5	86.436	70.547
1044.4	86.349	70.465
1044.3	86.382	70.457
1044.2	86.371	70.447999
1044.1	86.322	70.443
1044	86.369	70.438
1043.9	86.387	70.421
1043.8	86.42	70.418
1043.7	86.46	70.419
1043.6	86.383	70.42
1043.5	86.377	70.425
1043.4	86.301	70.435999
1043.3	86.334999	70.416
1043.2	86.398	70.431999
1043.1	86.378	70.41
1043	86.342	70.396999
1042.9	86.372	70.39
1042.8	86.371	70.392
1042.7	86.363999	70.375
1042.6	86.334	70.411
1042.5	86.292999	70.425
1042.4	86.331	70.39
1042.3	86.456999	70.399
1042.2	86.425	70.363
1042.1	86.362	70.371
1042	86.407	70.343999
