Angle, TimePerStep, Intensity
19.76,0.5,2
19.78,0.5,3
19.8,0.5,4
19.82,0.5,5
19.84,0.5,5
19.86,0.5,4
19.88,0.5,5
19.9,0.5,5
19.92,0.5,5
19.94,0.5,4
19.96,0.5,8
19.98,0.5,3
20,0.5,9
20.02,0.5,8
20.04,0.5,4
20.06,0.5,7
20.08,0.5,9
20.1,0.5,3
20.12,0.5,7
20.14,0.5,5
20.16,0.5,5
20.18,0.5,7
20.2,0.5,4
20.22,0.5,7
20.24,0.5,6
20.26,0.5,3
20.28,0.5,8
20.3,0.5,4
20.32,0.5,8
20.34,0.5,5
20.36,0.5,5
20.38,0.5,10
20.4,0.5,5
20.42,0.5,3
20.44,0.5,6
20.46,0.5,6
20.48,0.5,5
20.5,0.5,8
20.52,0.5,5
20.54,0.5,6
20.56,0.5,3
20.58,0.5,7
20.6,0.5,7
20.62,0.5,10
20.64,0.5,3
20.66,0.5,7
20.68,0.5,2
20.7,0.5,5
20.72,0.5,6
20.74,0.5,7
20.76,0.5,7
20.78,0.5,5
20.8,0.5,3
20.82,0.5,4
20.84,0.5,5
20.86,0.5,3
20.88,0.5,3
20.9,0.5,5
20.92,0.5,5
20.94,0.5,0
20.96,0.5,4
20.98,0.5,4
21,0.5,5
21.02,0.5,1
21.04,0.5,6
21.06,0.5,2
21.08,0.5,6
21.1,0.5,6
21.12,0.5,7
21.14,0.5,8
21.16,0.5,5
21.18,0.5,3
21.2,0.5,5
21.22,0.5,4
21.24,0.5,7
21.26,0.5,4
21.28,0.5,4
21.3,0.5,9
21.32,0.5,4
21.34,0.5,2
21.36,0.5,7
21.38,0.5,4
21.4,0.5,6
21.42,0.5,3
21.44,0.5,3
21.46,0.5,8
21.48,0.5,8
21.5,0.5,6
21.52,0.5,2
21.54,0.5,4
21.56,0.5,1
21.58,0.5,6
21.6,0.5,5
21.62,0.5,6
21.64,0.5,5
21.66,0.5,7
21.68,0.5,10
21.7,0.5,3
21.72,0.5,3
21.74,0.5,2
21.76,0.5,7
21.78,0.5,4
21.8,0.5,5
21.82,0.5,2
21.84,0.5,5
21.86,0.5,6
21.88,0.5,4
21.9,0.5,2
21.92,0.5,3
21.94,0.5,3
21.96,0.5,10
21.98,0.5,4
22,0.5,7
22.02,0.5,4
22.04,0.5,5
22.06,0.5,7
22.08,0.5,2
22.1,0.5,6
22.12,0.5,3
22.14,0.5,4
22.16,0.5,2
22.18,0.5,2
22.2,0.5,1
22.22,0.5,5
22.24,0.5,0
22.26,0.5,3
22.28,0.5,3
22.3,0.5,3
22.32,0.5,3
22.34,0.5,3
22.36,0.5,2
22.38,0.5,3
22.4,0.5,9
22.42,0.5,4
22.44,0.5,2
22.46,0.5,4
22.48,0.5,7
22.5,0.5,7
22.52,0.5,3
22.54,0.5,2
22.56,0.5,1
22.58,0.5,10
22.6,0.5,5
22.62,0.5,6
22.64,0.5,6
22.66,0.5,4
22.68,0.5,4
22.7,0.5,4
22.72,0.5,5
22.74,0.5,5
22.76,0.5,3
22.78,0.5,6
22.8,0.5,6
22.82,0.5,2
22.84,0.5,3
22.86,0.5,7
22.88,0.5,5
22.9,0.5,10
22.92,0.5,6
22.94,0.5,4
22.96,0.5,1
22.98,0.5,1
23,0.5,4
23.02,0.5,6
23.04,0.5,2
23.06,0.5,4
23.08,0.5,2
23.1,0.5,5
23.12,0.5,4
23.14,0.5,3
23.16,0.5,2
23.18,0.5,5
23.2,0.5,3
23.22,0.5,2
23.24,0.5,3
23.26,0.5,6
23.28,0.5,4
23.3,0.5,4
23.32,0.5,6
23.34,0.5,2
23.36,0.5,5
23.38,0.5,4
23.4,0.5,3
23.42,0.5,3
23.44,0.5,1
23.46,0.5,2
23.48,0.5,3
23.5,0.5,4
23.52,0.5,2
23.54,0.5,6
23.56,0.5,5
23.58,0.5,5
23.6,0.5,5
23.62,0.5,3
23.64,0.5,6
23.66,0.5,5
23.68,0.5,0
23.7,0.5,3
23.72,0.5,3
23.74,0.5,2
23.76,0.5,3
23.78,0.5,6
23.8,0.5,2
23.82,0.5,2
23.84,0.5,2
23.86,0.5,5
23.88,0.5,1
23.9,0.5,4
23.92,0.5,0
23.94,0.5,3
23.96,0.5,6
23.98,0.5,2
24,0.5,0
24.02,0.5,3
24.04,0.5,1
24.06,0.5,5
24.08,0.5,6
24.1,0.5,4
24.12,0.5,2
24.14,0.5,4
24.16,0.5,5
24.18,0.5,7
24.2,0.5,3
24.22,0.5,5
24.24,0.5,1
24.26,0.5,5
24.28,0.5,3
24.3,0.5,4
24.32,0.5,8
24.34,0.5,2
24.36,0.5,5
24.38,0.5,6
24.4,0.5,1
24.42,0.5,5
24.44,0.5,5
24.46,0.5,6
24.48,0.5,6
24.5,0.5,5
24.52,0.5,4
24.54,0.5,3
24.56,0.5,3
24.58,0.5,4
24.6,0.5,5
24.62,0.5,2
24.64,0.5,2
24.66,0.5,9
24.68,0.5,4
24.7,0.5,4
24.72,0.5,5
24.74,0.5,3
24.76,0.5,4
24.78,0.5,3
24.8,0.5,2
24.82,0.5,2
24.84,0.5,5
24.86,0.5,1
24.88,0.5,4
24.9,0.5,3
24.92,0.5,3
24.94,0.5,3
24.96,0.5,5
24.98,0.5,1
25,0.5,4
25.02,0.5,4
25.04,0.5,5
25.06,0.5,7
25.08,0.5,2
25.1,0.5,5
25.12,0.5,5
25.14,0.5,2
25.16,0.5,4
25.18,0.5,6
25.2,0.5,9
25.22,0.5,5
25.24,0.5,8
25.26,0.5,4
25.28,0.5,3
25.3,0.5,3
25.32,0.5,4
25.34,0.5,4
25.36,0.5,9
25.38,0.5,2
25.4,0.5,4
25.42,0.5,8
25.44,0.5,4
25.46,0.5,5
25.48,0.5,3
25.5,0.5,5
25.52,0.5,3
25.54,0.5,6
25.56,0.5,6
25.58,0.5,4
25.6,0.5,7
25.62,0.5,5
25.64,0.5,2
25.66,0.5,3
25.68,0.5,1
25.7,0.5,6
25.72,0.5,8
25.74,0.5,6
25.76,0.5,3
25.78,0.5,1
25.8,0.5,5
25.82,0.5,6
25.84,0.5,5
25.86,0.5,7
25.88,0.5,7
25.9,0.5,3
25.92,0.5,7
25.94,0.5,2
25.96,0.5,2
25.98,0.5,5
26,0.5,5
26.02,0.5,7
26.04,0.5,6
26.06,0.5,2
26.08,0.5,1
26.1,0.5,4
26.12,0.5,6
26.14,0.5,4
26.16,0.5,8
26.18,0.5,9
26.2,0.5,7
26.22,0.5,4
26.24,0.5,7
26.26,0.5,11
26.28,0.5,5
26.3,0.5,9
26.32,0.5,7
26.34,0.5,2
26.36,0.5,3
26.38,0.5,6
26.4,0.5,11
26.42,0.5,14
26.44,0.5,4
26.46,0.5,4
26.48,0.5,4
26.5,0.5,7
26.52,0.5,4
26.54,0.5,7
26.56,0.5,4
26.58,0.5,4
26.6,0.5,10
26.62,0.5,5
26.64,0.5,2
26.66,0.5,11
26.68,0.5,6
26.7,0.5,5
26.72,0.5,7
26.74,0.5,1
26.76,0.5,7
26.78,0.5,5
26.8,0.5,5
26.82,0.5,14
26.84,0.5,8
26.86,0.5,6
26.88,0.5,7
26.9,0.5,13
26.92,0.5,13
26.94,0.5,13
26.96,0.5,12
26.98,0.5,11
27,0.5,9
27.02,0.5,8
27.04,0.5,9
27.06,0.5,7
27.08,0.5,5
27.1,0.5,6
27.12,0.5,13
27.14,0.5,8
27.16,0.5,8
27.18,0.5,10
27.2,0.5,8
27.22,0.5,6
27.24,0.5,13
27.26,0.5,10
27.28,0.5,12
27.3,0.5,15
27.32,0.5,15
27.34,0.5,13
27.36,0.5,14
27.38,0.5,14
27.4,0.5,9
27.42,0.5,16
27.44,0.5,12
27.46,0.5,10
27.48,0.5,13
27.5,0.5,11
27.52,0.5,14
27.54,0.5,28
27.56,0.5,21
27.58,0.5,21
27.6,0.5,14
27.62,0.5,23
27.64,0.5,18
27.66,0.5,19
27.68,0.5,22
27.7,0.5,22
27.72,0.5,15
27.74,0.5,23
27.76,0.5,28
27.78,0.5,28
27.8,0.5,28
27.82,0.5,29
27.84,0.5,35
27.86,0.5,43
27.88,0.5,20
27.9,0.5,29
27.92,0.5,29
27.94,0.5,40
27.96,0.5,36
27.98,0.5,36
28,0.5,35
28.02,0.5,39
28.04,0.5,42
28.06,0.5,44
28.08,0.5,48
28.1,0.5,33
28.12,0.5,46
28.14,0.5,47
28.16,0.5,49
28.18,0.5,43
28.2,0.5,52
28.22,0.5,52
28.24,0.5,46
28.26,0.5,46
28.28,0.5,50
28.3,0.5,61
28.32,0.5,75
28.34,0.5,50
28.36,0.5,55
28.38,0.5,51
28.4,0.5,56
28.42,0.5,60
28.44,0.5,59
28.46,0.5,78
28.48,0.5,66
28.5,0.5,58
28.52,0.5,86
28.54,0.5,67
28.56,0.5,59
28.58,0.5,69
28.6,0.5,59
28.62,0.5,51
28.64,0.5,62
28.66,0.5,73
28.68,0.5,56
28.7,0.5,57
28.72,0.5,53
28.74,0.5,59
28.76,0.5,64
28.78,0.5,55
28.8,0.5,45
28.82,0.5,47
28.84,0.5,37
28.86,0.5,54
28.88,0.5,42
28.9,0.5,50
28.92,0.5,35
28.94,0.5,43
28.96,0.5,45
28.98,0.5,37
29,0.5,41
29.02,0.5,34
29.04,0.5,29
29.06,0.5,32
29.08,0.5,39
29.1,0.5,36
29.12,0.5,38
29.14,0.5,32
29.16,0.5,34
29.18,0.5,33
29.2,0.5,32
29.22,0.5,22
29.24,0.5,37
29.26,0.5,18
29.28,0.5,26
29.3,0.5,23
29.32,0.5,26
29.34,0.5,24
29.36,0.5,15
29.38,0.5,18
29.4,0.5,23
29.42,0.5,17
29.44,0.5,18
29.46,0.5,21
29.48,0.5,16
29.5,0.5,16
29.52,0.5,7
29.54,0.5,13
29.56,0.5,6
29.58,0.5,10
29.6,0.5,16
29.62,0.5,16
29.64,0.5,12
29.66,0.5,13
29.68,0.5,14
29.7,0.5,8
29.72,0.5,9
29.74,0.5,10
29.76,0.5,10
29.78,0.5,13
29.8,0.5,13
29.82,0.5,13
29.84,0.5,3
29.86,0.5,15
29.88,0.5,14
29.9,0.5,12
29.92,0.5,10
29.94,0.5,7
29.96,0.5,9
29.98,0.5,5
30,0.5,7
30.02,0.5,7
30.04,0.5,12
30.06,0.5,8
30.08,0.5,2
30.1,0.5,8
30.12,0.5,3
30.14,0.5,8
30.16,0.5,9
30.18,0.5,6
30.2,0.5,4
30.22,0.5,6
30.24,0.5,9
30.26,0.5,5
30.28,0.5,7
30.3,0.5,4
30.32,0.5,9
30.34,0.5,3
30.36,0.5,11
30.38,0.5,5
30.4,0.5,8
30.42,0.5,4
30.44,0.5,6
30.46,0.5,4
30.48,0.5,3
30.5,0.5,8
30.52,0.5,9
30.54,0.5,10
30.56,0.5,3
30.58,0.5,8
30.6,0.5,6
30.62,0.5,3
30.64,0.5,3
30.66,0.5,4
30.68,0.5,7
30.7,0.5,9
30.72,0.5,5
30.74,0.5,8
30.76,0.5,9
30.78,0.5,5
30.8,0.5,5
30.82,0.5,4
30.84,0.5,4
30.86,0.5,5
30.88,0.5,9
30.9,0.5,4
30.92,0.5,4
30.94,0.5,3
30.96,0.5,3
30.98,0.5,6
31,0.5,2
31.02,0.5,8
31.04,0.5,5
31.06,0.5,7
31.08,0.5,5
31.1,0.5,4
31.12,0.5,8
31.14,0.5,6
31.16,0.5,7
31.18,0.5,8
31.2,0.5,4
31.22,0.5,6
31.24,0.5,3
31.26,0.5,5
31.28,0.5,2
31.3,0.5,2
31.32,0.5,5
31.34,0.5,8
31.36,0.5,2
31.38,0.5,4
31.4,0.5,8
31.42,0.5,5
31.44,0.5,2
31.46,0.5,4
31.48,0.5,5
31.5,0.5,5
31.52,0.5,6
31.54,0.5,2
31.56,0.5,5
31.58,0.5,4
31.6,0.5,6
31.62,0.5,2
31.64,0.5,6
31.66,0.5,8
31.68,0.5,3
31.7,0.5,3
31.72,0.5,7
31.74,0.5,8
31.76,0.5,6
31.78,0.5,7
31.8,0.5,8
31.82,0.5,3
31.84,0.5,6
31.86,0.5,4
31.88,0.5,8
31.9,0.5,2
31.92,0.5,9
31.94,0.5,2
31.96,0.5,7
31.98,0.5,8
32,0.5,8
32.02,0.5,6
32.04,0.5,7
32.06,0.5,7
32.08,0.5,14
32.1,0.5,11
32.12,0.5,3
32.14,0.5,6
32.16,0.5,5
32.18,0.5,6
32.2,0.5,5
32.22,0.5,9
32.24,0.5,4
32.26,0.5,11
32.28,0.5,12
32.3,0.5,12
32.32,0.5,4
32.34,0.5,6
32.36,0.5,14
32.38,0.5,13
32.4,0.5,12
32.42,0.5,11
32.44,0.5,10
32.46,0.5,12
32.48,0.5,14
32.5,0.5,9
32.52,0.5,12
32.54,0.5,9
32.56,0.5,20
32.58,0.5,10
32.6,0.5,13
32.62,0.5,14
32.64,0.5,15
32.66,0.5,16
32.68,0.5,13
32.7,0.5,10
32.72,0.5,18
32.74,0.5,19
32.76,0.5,12
32.78,0.5,20
32.8,0.5,22
32.82,0.5,15
32.84,0.5,18
32.86,0.5,24
32.88,0.5,21
32.9,0.5,23
32.92,0.5,27
32.94,0.5,25
32.96,0.5,19
32.98,0.5,21
33,0.5,17
33.02,0.5,15
33.04,0.5,19
33.06,0.5,14
33.08,0.5,28
33.1,0.5,20
33.12,0.5,24
33.14,0.5,15
33.16,0.5,14
33.18,0.5,15
33.2,0.5,15
33.22,0.5,17
33.24,0.5,17
33.26,0.5,14
33.28,0.5,17
33.3,0.5,14
33.32,0.5,19
33.34,0.5,15
33.36,0.5,13
