"-244,000","20,000","-242,000","30,000","-244,000","10,000","-242,000","10,000","-244,000","20,000","-248,000","20,000","-244,000","10,000","-248,000","10,000","-244,000","30,000","-250,000","10,000"
"-244,000","10,000","-248,000","10,000","-248,000","10,000","-240,000","20,000","-246,000","10,000","-248,000","0,000","-246,000","10,000","-248,000","10,000","-242,000","-10,000","-242,000","10,000"
"-244,000","10,000","-240,000","10,000","-242,000","30,000","-240,000","20,000","-244,000","0,000","-248,000","10,000","-238,000","-10,000","-242,000","10,000","-244,000","20,000","-242,000","10,000"
"-240,000","20,000","-238,000","10,000","-246,000","0,000","-238,000","20,000","-238,000","30,000","-240,000","30,000","-244,000","10,000","-242,000","20,000","-242,000","20,000","-236,000","10,000"
"-238,000","10,000","-236,000","30,000","-236,000","10,000","-240,000","30,000","-244,000","0,000","-244,000","10,000","-236,000","20,000","-242,000","10,000","-236,000","20,000","-236,000","10,000"
"-236,000","10,000","-238,000","0,000","-232,000","10,000","-234,000","20,000","-236,000","0,000","-238,000","10,000","-236,000","10,000","-234,000","20,000","-236,000","20,000","-238,000","-10,000"
"-232,000","-590,000","-230,000","-430,000","-236,000","-490,000","-240,000","0,000","-240,000","0,000","-232,000","0,000","-232,000","-20,000","-240,000","-10,000","-238,000","10,000","-242,000","0,000"
"-236,000","0,000","-230,000","10,000","-230,000","10,000","-228,000","10,000","-234,000","10,000","-230,000","-420,000","-234,000","10,000","-228,000","0,000","-228,000","10,000","-228,000","10,000"
"-230,000","30,000","-228,000","30,000","-232,000","10,000","-234,000","10,000","-232,000","0,000","-236,000","0,000","-236,000","0,000","-232,000","10,000","-238,000","10,000","-236,000","10,000"
"-228,000","10,000","-228,000","20,000","-226,000","10,000","-224,000","20,000","-224,000","30,000","-228,000","10,000","-228,000","10,000","-226,000","0,000","-226,000","30,000","-226,000","30,000"
"-226,000","0,000","-232,000","10,000","-232,000","20,000","-228,000","0,000","-232,000","0,000","-226,000","20,000","-232,000","0,000","-230,000","20,000","-226,000","10,000","-230,000","20,000"
"-220,000","10,000","-220,000","0,000","-230,000","0,000","-222,000","30,000","-222,000","30,000","-224,000","30,000","-220,000","10,000","-224,000","20,000","-228,000","10,000","-232,000","0,000"
"-226,000","10,000","-218,000","10,000","-224,000","10,000","-228,000","-10,000","-228,000","10,000","-220,000","0,000","-226,000","10,000","-220,000","20,000","-222,000","30,000","-224,000","20,000"
"-220,000","10,000","-218,000","10,000","-222,000","10,000","-224,000","10,000","-224,000","10,000","-228,000","0,000","-224,000","0,000","-226,000","10,000","-222,000","0,000","-224,000","20,000"
"-224,000","10,000","-220,000","20,000","-224,000","30,000","-226,000","0,000","-218,000","10,000","-216,000","20,000","-216,000","10,000","-224,000","10,000","-224,000","0,000","-224,000","0,000"
"-224,000","0,000","-218,000","0,000","-228,000","0,000","-218,000","10,000","-222,000","10,000","-218,000","30,000","-222,000","10,000","-220,000","10,000","-220,000","20,000","-220,000","-10,000"
